Moneda,Descripción,Ranking,Capitalización de mercado,Capitalización de mercado - Divisa,Cantidad de transacciones,Volumen de transacciones,Volumen de transacciones en USD,Volumen de transacciones en USD - Divisa,Media de transacciones en USD,Media de transacciones en USD - Divisa,Grandes transacciones,Volumen de transacciones grandes en USD,Volumen de transacciones grandes en USD - Divisa
COS,Contentos,662,26367845.7030012,USD,8,10847681.07485064,57161.855423925444,USD,7145.231927990681,USD,0,0,USD
TARA,Taraxa,663,26424981.157259997,USD,,,,,,,,,
QUACK,RichQUACK.com,664,24915621.87369992,USD,,,,,,,,,
OL,Open Loot,665,24807503.571372245,USD,,,,,,,,,
TPT,TokenPocket,666,25555417.24428,USD,,,,,,,,,
ROOT,The Root Network,667,26210600.44974,USD,,,,,,,,,
BETA,Beta Finance,668,25519380.291727,USD,,,,,,,,,
TET,Tectum,669,25037556.144098997,USD,,,,,,,,,
SLND,Solend,670,24861674.783600736,USD,,,,,,,,,
DADDY,Daddy Tate,671,24201711.036934517,USD,,,,,,,,,
NPT,Neopin,672,24496411.514650002,USD,,,,,,,,,
DIONE,Dione Protocol,673,24297317.497384004,USD,,,,,,,,,
SUKU,Suku,674,24999790.32043828,USD,,,,,,,,,
AIDOGE,ArbDoge AI,675,23729491.100991383,USD,,,,,,,,,
WHY,WHY,676,23966880,USD,,,,,,,,,
BOSON,Boson Protocol,677,24409996.354945302,USD,,,,,,,,,
EVER,Everscale,678,23927543.481581997,USD,,,,,,,,,
MATH,MATH,679,23732334.7232212,USD,,,,,,,,,
MASA,Masa,680,23894107.288407,USD,,,,,,,,,
KIN,Kin,681,23549380.899499796,USD,,,,,,,,,
OORT,OORT,682,23547533.632822778,USD,,,,,,,,,
BSW,Biswap,683,23545876.685355,USD,,,,,,,,,
LOKA,League of Kingdoms Arena,684,23543849.66259164,USD,,,,,,,,,
FARM,Harvest Finance,685,23395345.002065964,USD,58,8997.117447099106,303576.079453544,USD,5234.070335405931,USD,0,0,USD
KLV,Klever,686,23324481.660038218,USD,,,,,,,,,
CHESS,Tranchess,687,23350052.1135,USD,,,,,,,,,
NXRA,Nexera,688,22982680.596526008,USD,,,,,,,,,
VOXEL,Voxies,689,23342457.30355607,USD,,,,,,,,,
HTR,Hathor,690,21969686.91394078,USD,,,,,,,,,
KEKIUS,Kekius Maximus,691,22699000,USD,,,,,,,,,
KISHU,Kishu Inu,692,22533347.337487143,USD,115,185008524338305.03,46173.1813080554,USD,401.5059244178731,USD,0,0,USD
LOOKS,LooksRare,693,22731674.052309,USD,149,7379543.444852694,189974.94071198913,USD,1274.9996020938868,USD,0,0,USD
LUNA,Luna by Virtuals,694,22150000,USD,,,,,,,,,
ALEPH,Aleph.im,695,22763567.554930136,USD,,,,,,,,,
MYRO,Myro,696,21840378.444764998,USD,,,,,,,,,
RBN,Ribbon Finance,697,21864425.127996054,USD,58,4766234.571817113,995446.7065802272,USD,17162.87425138323,USD,2,533209.5432937435,USD
MNGO,Mango,698,21678873.648497242,USD,,,,,,,,,
ELIZA,Eliza (elizawakesup),699,23207873.709289208,USD,,,,,,,,,
GAFI,GameFi.org,700,22295093.7033636,USD,,,,,,,,,
GFAL,Games for a living,701,21650481.488506753,USD,,,,,,,,,
HOPR,HOPR,702,21273893.109615,USD,,,,,,,,,
ASD,ASD,703,21246708.442388,USD,,,,,,,,,
CLANKER,tokenbot,704,22765000,USD,,,,,,,,,
REN,Ren,705,21263753.961140238,USD,115,4191010.7165872254,98279.20130397043,USD,854.6017504693081,USD,0,0,USD
KOMA,Koma Inu,706,20918745.564408075,USD,,,,,,,,,
ADX,AdEx,707,20581296.327472642,USD,0,0,,,0,USD,0,0,USD
SIX,SIX,708,20690402.158603564,USD,,,,,,,,,
CEEK,CEEK VR,709,20009195.329782024,USD,17,2400739.7769564623,62335.20830867455,USD,3666.7769593337966,USD,0,0,USD
PROPC,Propchain,710,20666898.79502676,USD,,,,,,,,,
HEGIC,Hegic,711,21026669.466622815,USD,34,463659.1863503264,14048.729066301881,USD,413.1979137147612,USD,0,0,USD
BLUE,Bluefin,712,20260787.78286,USD,,,,,,,,,
LINA,Linear Finance,713,20288821.279586963,USD,,,,,,,,,
BLZ,Bluzelle,714,19772343.76671141,USD,,35289970.19532085,,,10916.04866153689,USD,2,767954.736458588,USD
SHPING,SHPING,715,20002564.935608,USD,,,,,,,,,
LEASH,Doge Killer,716,20262646.052475877,USD,259,3470.223111466165,623240.6787764605,USD,2406.3346670905808,USD,1,131760.86467041646,USD
NEIRO,Neiro Ethereum,717,19589000,USD,,,,,,,,,
QUICK,Quickswap[New],718,19882833.81040042,USD,6,,0.55701485841018,USD,,,,,
GROK,GROK,719,19883096.283160996,USD,,,,,,,,,
SLF,Self Chain,720,19799640,USD,,,,,,,,,
FIO,FIO Protocol,721,19338930.160043728,USD,,,,,,,,,
OPUL,Opulous,722,19207640.69396231,USD,,,,,,,,,
BIFI,Beefy,723,19211200,USD,,,,,,,,,
PORK,PepeFork,724,18502911.90759493,USD,,,,,,,,,
COMBO,COMBO,725,19013447.7648,USD,0,,,,,,,,
FIRO,Firo,726,18740431.72326652,USD,,,,,,,,,
GEMS,Gems,727,18832362.019093,USD,,,,,,,,,
PROS,Prosper,728,18374160.31065,USD,,,,,,,,,
FOX,Shapeshift FOX Token,729,18700811.968608,USD,,,,,,,,,
MANEKI,MANEKI,730,18376624.9558536,USD,,,,,,,,,
CHEQ,cheqd,731,18293697.921494998,USD,,,,,,,,,
GOG,Guild of Guardians,732,18075543.382249057,USD,,,,,,,,,
SUSD,sUSD,733,17909714.163418297,USD,0,0,,,0,USD,0,0,USD
PIVX,PIVX,734,18018843.106975865,USD,,,,,,,,,
WING,Wing Finance,735,17863722.307139322,USD,,,,,,,,,
VVAIFU,Dasha,736,17111381.953738194,USD,,,,,,,,,
UFT,UniLend,737,17524598.328067295,USD,42,499993.92517553235,104067.31893480492,USD,2477.793307971546,USD,0,0,USD
SANTOS,Santos FC Fan Token,738,17616664.45675106,USD,,,,,,,,,
QTCON,Quiztok,739,17077793.578317393,USD,,,,,,,,,
SAMO,Samoyedcoin,740,16988121.026108403,USD,,,,,,,,,
DLC,Diamond Launch,741,16611381.67952,USD,,,,,,,,,
VIDT,VIDT DAO,742,16578560.209666,USD,0,,,,,,,,
PROPS,Propbase,743,15817936.87386907,USD,,,,,,,,,
BURGER,BurgerCities,744,16435304.282432105,USD,,,,,,,,,
VLX,Velas,745,16372205.764814515,USD,,,,,,,,,
MAJOR,Major,746,16288231.20456,USD,,,,,,,,,
PSG,Paris Saint-Germain Fan Token,747,16284087.5535,USD,,,,,,,,,
ALPACA,Alpaca Finance,748,16147385.540360533,USD,,,,,,,,,
CREAM,Cream Finance,749,16019718.581099998,USD,378,40374.090639615475,360243.07027758955,USD,953.0239954433586,USD,0,0,USD
KRL,Kryll,750,15979129.338171849,USD,24,1823367.2426934917,789791.5211726859,USD,32907.98004886191,USD,2,694595.9323735578,USD
PSP,ParaSwap,751,16627884.60888,USD,36,27306843.148186993,552580.4405650257,USD,15349.456682361824,USD,1,153213.3047513757,USD
BZZ,Swarm,752,15176868.69075987,USD,,,,,,,,,
PDA,PlayDapp,753,15549984.86643,USD,,,,,,,,,
SWAP,TrustSwap,754,14978275.61556,USD,149,1835804.490422268,287216.94369243376,USD,1927.6304945800923,USD,0,0,USD
VXV,Vectorspace AI,755,15861532.280517912,USD,,,,,,,,,
HARD,Kava Lend,756,15340639.73508,USD,,,,,,,,,
OG,OG Fan Token,757,15167538.3946,USD,,,,,,,,,
PNK,Kleros,758,15248255.209918264,USD,,,,,,,,,
OBSR,Observer,759,15121742.944683101,USD,,,,,,,,,
MEMEFI,MemeFi,760,14901999.999999998,USD,,,,,,,,,
VINU,Vita Inu,761,14781283.93653137,USD,,,,,,,,,
WNCG,Nine Chronicles,762,14408145.825252842,USD,,,,,,,,,
DMTR,Dimitra,763,14550337.152704064,USD,,,,,,,,,
TROY,TROY,764,14886000,USD,,,,,,,,,
SQGROW,Squid Grow,765,14741000,USD,,,,,,,,,
AMB,AirDAO,766,14766767.75266,USD,,,,,,,,,
VOLT,Volt Inu,767,14837830.175606119,USD,,,,,,,,,
BAR,FC Barcelona Fan Token,768,14560193.5518,USD,,,,,,,,,
VAI,VAIOT,769,14525558.908595,USD,,,,,,,,,
MUMU,Mumu the Bull,770,14198106.667021222,USD,,,,,,,,,
SOV,Sovryn,771,13942215.911304025,USD,,,,,,,,,
NIM,Nimiq,772,13618297.837437958,USD,,,,,,,,,
AST,AirSwap,773,13658432.358782262,USD,119,8338638.572600002,618726.9820869201,USD,5199.386404091766,USD,0,0,USD
DEAI,Zero1 Labs,774,13396751.89384,USD,,,,,,,,,
GYEN,GYEN,775,13358740.002045,USD,,,,,,,,,
MAVIA,Heroes of Mavia,776,13436875.2991,USD,,,,,,,,,
VIB,Viberate,777,13314467.129999999,USD,26,525605.6388171974,462.00735652031653,USD,17.769513712319867,USD,0,0,USD
CGO,Comtech Gold,778,12748938,USD,,,,,,,,,
GAL,Galxe,779,15060401.863686804,USD,,,,,,,,,
TIME,Chrono.tech,780,12653503.547,USD,,,,,,,,,
REEF,Reef,781,12575581.273847684,USD,,,,,,,,,
PLU,Pluton,782,13040015.487586997,USD,776,776773.3202423019,1320514.6444119131,USD,1701.6941293967955,USD,0,0,USD
CRTS,Cratos,783,12297311.367272802,USD,,,,,,,,,
DBC,DeepBrain Chain,784,11854117.344866501,USD,,,,,,,,,
LAZIO,S.S. Lazio Fan Token,785,11954274.971533896,USD,,,,,,,,,
DNX,Dynex,786,11935241.91335541,USD,,,,,,,,,
MOTHER,Mother Iggy,787,12299374.64918518,USD,,,,,,,,,
STC,SaitaChain Coin,788,11751939.419697069,USD,,,,,,,,,
NTX,NuNet,789,11601004.48031,USD,,,,,,,,,
DFI,DeFiChain,790,11271083.305250062,USD,,,,,,,,,
PORTO,FC Porto Fan Token,791,11423543.684377292,USD,,,,,,,,,
ROUTE,Router Protocol,792,11671546.615784,USD,,,,,,,,,
ALPINE,Alpine F1 Team Fan Token,793,11212433.600000001,USD,,,,,,,,,
MNW,Morpheus.Network,794,12240382.795527073,USD,1,,25.60493112,USD,,,,,
CWEB,Coinweb,795,11139000.699753234,USD,,,,,,,,,
DVI,Dvision Network,796,11264103.26272,USD,,,,,,,,,
BLOK,Bloktopia,797,11034710.70651729,USD,,,,,,,,,
PIT,Pitbull,798,10612337.415128786,USD,,,,,,,,,
USDJ,USDJ,799,10956828.083106054,USD,,,,,,,,,
FLOCK,Flock.io,800,10975492.690642199,USD,,,,,,,,,
UFO,UFO Gaming,801,11160757.575757464,USD,,,,,,,,,
YFII,DFI.Money,802,10971298.959999999,USD,27,32.05037635191464,9344.226771590085,USD,346.082473021855,USD,0,0,USD
SDAO,SingularityDAO,803,11149953.8707352,USD,,,,,,,,,
WAGMIGAMES,WAGMI Games,804,11288944.969049018,USD,,,,,,,,,
CITY,Manchester City Fan Token,805,10688433.8418,USD,,,,,,,,,
TAOCAT,TAOCat by Virtuals & Masa,806,11270600,USD,,,,,,,,,
TRIAS,Trias Token (new),807,10502499.999999998,USD,,,,,,,,,
HELLO,HELLO Labs,808,10532568.115338,USD,,,,,,,,,
SOUL,Phantasma,809,10117150.255411198,USD,,,,,,,,,
UNCX,UNCX Network,810,10482288.376272872,USD,,,,,,,,,
KATA,Katana Inu,811,9792472.6142695,USD,,,,,,,,,
BCD,Bitcoin Diamond,812,9676743.488985265,USD,,,,,,,,,
ZERC,zkRace,813,9652320,USD,,,,,,,,,
RLY,Rally,814,9752687.530009834,USD,50,32235443.754005015,59804.44211975177,USD,1196.0888423950355,USD,0,0,USD
OUSD,Origin Dollar,815,9484851.80743409,USD,,,,,,,,,
MXC,Moonchain,816,9486745.25484,USD,,,,,,,,,
ATM,Atletico De Madrid Fan Token,817,9229336.8696,USD,,,,,,,,,
ASR,AS Roma Fan Token,818,9191220.6876,USD,,,,,,,,,
WRX,WazirX,819,9047716.733270615,USD,,,,,,,,,
SPS,Splintershards,820,8909416.19633226,USD,,,,,,,,,
AURY,Aurory,821,8964818.034712,USD,,,,,,,,,
MUBI,Multibit,822,8949380,USD,,,,,,,,,
VITE,VITE,823,8789018.088681404,USD,0,0,,,0,USD,0,0,USD
MCB,MUX Protocol,824,8688232.5405,USD,3,59.68162947258404,153.4736727525521,USD,51.15789091751736,USD,0,0,USD
JUV,Juventus Fan Token,825,8620349.7324,USD,,,,,,,,,
NWC,Newscrypto,826,8279866.69677573,USD,,,,,,,,,
KP3R,Keep3rV1,827,8214438.96,USD,67,8046.7471458100545,149045.8521322834,USD,2224.56495719826,USD,0,0,USD
WRLD,NFT Worlds,828,8172664.562205,USD,,,,,,,,,
OPEN,Open Custody Protocol,829,8416478.73039292,USD,,,,,,,,,
LUCE,LUCE,830,8114299.967542799,USD,,,,,,,,,
STOS,Stratos,831,8216085.0695,USD,,,,,,,,,
JEWEL,DeFi Kingdoms,832,7932067.366233385,USD,,,,,,,,,
GAL,Galatasaray Fan Token,833,7828917.096,USD,,,,,,,,,
ACM,AC Milan Fan Token,834,7426078.31574,USD,,,,,,,,,
GXA,GALAXIA,835,7393367.0521567995,USD,,,,,,,,,
DC,Dogechain,836,7591295.9976723185,USD,,,,,,,,,
NEXA,Nexa,837,7352065.214000001,USD,,,,,,,,,
MAGA,MAGA,838,7171397.469955841,USD,,,,,,,,,
FITFI,Step App,839,7268184,USD,,,,,,,,,
BUY,Buying.com,840,7148405.165310001,USD,,,,,,,,,
PEPE20,Pepe 2.0,841,7299046.999999999,USD,,,,,,,,,
MAN,Matrix AI Network,842,7141067.959409272,USD,,,,,,,,,
KAI,KardiaChain,843,6988690,USD,,,,,,,,,
IMGNAI,Image Generation AI,844,7162247.9635934,USD,,,,,,,,,
KWENTA,Kwenta,845,6721540.263808,USD,,,,,,,,,
KAN,BitKan,846,6870005.064246464,USD,1,50009770.09862634,39957.80630880244,USD,39957.80630880244,USD,0,0,USD
SAITO,Saito,847,6929898.113229999,USD,,,,,,,,,
XCHNG,Chainge,848,6758475.646896,USD,,,,,,,,,
KAR,Karura,849,6893366.27276,USD,,,,,,,,,
RVF,RocketX exchange,850,7151644.9985879995,USD,,,,,,,,,
SDN,Shiden Network,851,6828528.472895352,USD,,,,,,,,,
CULT,Cult DAO,852,6903859.0024487125,USD,,,,,,,,,
TOMI,tomi,853,6624569.0045291595,USD,,,,,,,,,
INTER,Inter Milan Fan Token,854,6561375.54688,USD,,,,,,,,,
PUSH,Push Protocol,855,6684899.059524,USD,,,,,,,,,
HNS,Handshake,856,6690346.593023999,USD,,,,,,,,,
HERO,Metahero,857,6515799.074923,USD,,0,,,0,USD,0,0,USD
CEL,Celsius,858,6287942.503699999,USD,322,1976923.8576999998,328762.43753551,USD,1021.0013588059315,USD,0,0,USD
STARL,Starlink,859,6484865.15188324,USD,65,59854171057.33597,38054.5633408289,USD,585.4548206281369,USD,0,0,USD
HYDRA,Hydra,860,6182054.7270166,USD,,,,,,,,,
SRM,Serum,861,6139918.659756,USD,17,,3035.260075900917,USD,,,,,
RIF,Rifampicin,862,6161339.056611607,USD,,,,,,,,,
MEV,MEVerse,863,6368039.556560009,USD,,,,,,,,,
APM,apM Coin,864,6000563.9429440005,USD,,,,,,,,,
BAD,Bad Idea AI,865,6353876.87717063,USD,,,,,,,,,
XCAD,XCAD Network,866,6056530.40537082,USD,,,,,,,,,
IZI,Izumi Finance,867,5945814.88,USD,,,,,,,,,
URO,Urolithin A,868,6002059.605946887,USD,,,,,,,,,
POOLX,Poolz Finance,869,5893525.3511918,USD,,,,,,,,,
CVP,PowerPool,870,5847892.076502063,USD,88,1166112.5317204967,150444.49914275465,USD,1709.5965811676665,USD,0,0,USD
CAPS,Ternoa,871,5770271.230063801,USD,,,,,,,,,
FNCY,FNCY,872,5714154.882297898,USD,,,,,,,,,
SOFI,RAI Finance,873,5720831.381258355,USD,,,,,,,,,
BAX,BABB,874,5388082.514625,USD,3,1641622.3960769903,94.19629308689771,USD,31.398764362299236,USD,0,0,USD
KILT,KILT Protocol,875,5148095.9838,USD,,,,,,,,,
IRIS,IRISnet,876,5282696.633247929,USD,,,,,,,,,
CEUR,Celo Euro,877,4892080.795288967,USD,,,,,,,,,
LLM,Large Language Model,878,4688887.621304,USD,,,,,,,,,
FUSE,Fuse,879,4886001.643036079,USD,,,,,,,,,
KEY,SelfKey,880,4810859.963488838,USD,21,28315194.05367421,22850.361601315086,USD,1088.1124572054805,USD,0,0,USD
GZONE,GameZone,881,4678361.124645378,USD,,,,,,,,,
SIS,Symbiosis,882,4619905.4748720005,USD,,,,,,,,,
CQT,Covalent,883,4537731.879876254,USD,,,,,,,,,
AKITA,Akita Inu,884,4763510.3107815245,USD,58,481359687109.892,33652.36997977041,USD,580.2132755132828,USD,0,0,USD
FEI,Fei USD,885,4538146.627460752,USD,20,38554.62361350697,37340.57931812541,USD,1867.0289659062705,USD,0,0,USD
CENNZ,CENNZnet,886,4636920,USD,,0,,,0,USD,0,0,USD
UNIBOT,Unibot,887,4198000,USD,,5556.250663809696,,,558.5446912930421,USD,0,0,USD
BTM,BytomDAO,888,4451210.955529403,USD,0,0,,,0,USD,0,0,USD
VAL,Validity,889,4005877.8658635155,USD,,,,,,,,,
MTRG,Meter Governance,890,3870299.16015,USD,,,,,,,,,
FRED,First Convicted RACCON,891,3798447.4491167944,USD,,,,,,,,,
GMM,Gamium,892,3665683.061690913,USD,,,,,,,,,
CRU,Crust Network,893,3727492.3311599996,USD,,182092.01667943655,,,0,USD,0,0,USD
BEER,BEERCOIN,894,3539913.2677963916,USD,,,,,,,,,
TSUKA,Dejitaru Tsuka,895,3576100,USD,,,,,,,,,
UNFI,Unifi Protocol DAO,896,3325030.9390661586,USD,,46460.01687154,,,1802.8956013757522,USD,0,0,USD
CPH,Cypherium,897,3302150.161167,USD,,,,,,,,,
BTS,BitShares,898,3142416.9519999996,USD,,,,,,,,,
VGX,VGX Token,899,3209059.9348081257,USD,0,0,,,0,USD,0,0,USD
PRE,Presearch,900,3155614.2651385,USD,30,2407682.99820188,19210.616962796787,USD,640.3538987598929,USD,0,0,USD
FRA,Findora,901,3226083.9202694576,USD,,,,,,,,,
OPTI,Optimus AI,902,3024201.828858,USD,,,,,,,,,
DOME,Everdome,903,3071352.64689122,USD,,,,,,,,,
BOND,BarnBridge,904,2984621.065022922,USD,68,83438.89148971981,26911.99958044894,USD,395.7646997124844,USD,0,0,USD
MDX,Mdex,905,2888085.5168234077,USD,,,,,,,,,
NEST,NEST Protocol,906,2804213.24400036,USD,3,331245.8261608164,302.0544775916176,USD,100.68482586387255,USD,0,0,USD
RAI,Rai Reflex Index,907,2749232.6875053816,USD,54,16863.939106705344,50698.508429101006,USD,938.8612672055742,USD,0,0,USD
ORC,Orbit Chain,908,2672564.973256141,USD,,,,,,,,,
COT,Cosplay Token,909,2639998.0745087997,USD,,,,,,,,,
REVV,REVV,910,2608812.098655,USD,,,,,,,,,
FER,Ferro,911,2500113.8442209996,USD,,,,,,,,,
LBC,LBRY Credits,912,2382797.360314621,USD,,,,,,,,,
WOLF,LandWolf (SOL),913,2561329.8765827734,USD,,,,,,,,,
ABBC,ABBC Coin,914,2372712.2199080805,USD,,,,,,,,,
BSCPAD,BSCPAD,915,2345693.732673,USD,,,,,,,,,
EPX,Ellipsis,916,2277911.3739374788,USD,,,,,,,,,
SPH,Spheroid Universe,917,2268125.7588678,USD,,,,,,,,,
BITCI,Bitcicoin,918,2180673.38118656,USD,,,,,,,,,
PKF,Red Kite,919,2063999.7096485405,USD,,,,,,,,,
BBF,Bubblefong,920,2050922.211989,USD,,,,,,,,,
BRICK,r/FortNiteBR Bricks,921,1988796.47664,USD,,,,,,,,,
FOR,ForTube,922,2168998.5,USD,113,162547436.25866953,333346.6165926749,USD,2949.970058342256,USD,1,127996.23940857098,USD
TABOO,TABOO TOKEN,923,2018655.621808,USD,,,,,,,,,
DUST,DUST Protocol,924,1975178.27935,USD,,,,,,,,,
COVAL,Circuits of Value,925,1998537.195585257,USD,,,,,,,,,
AKRO,Akropolis,926,1891821.5966798963,USD,63,140075422.5043682,57887.162034023175,USD,918.8438418098916,USD,0,0,USD
MLT,MILC Platform,927,1811232.3207580103,USD,,,,,,,,,
VEXT,Veloce,928,1720023.767590473,USD,,,,,,,,,
FSN,Fusion,929,1669071.7715110711,USD,0,0,26.9855642,USD,0,USD,0,0,USD
OAX,OAX,930,1668180.9386580253,USD,2,9919.28823934,208.10666726135318,USD,104.05333363067659,USD,0,0,USD
GMMT,Giant Mammoth,931,1529082.6691096,USD,,,,,,,,,
SOLVE,SOLVE,932,1455909.9645335001,USD,40,8007736.387141501,15641.91187182285,USD,391.04779679557123,USD,0,0,USD
RMRK,RMRK,933,1557824.9669511986,USD,,,,,,,,,
WSM,Wall Street Memes,934,1340913.494713556,USD,,,,,,,,,
PLANET,PLANET,935,1335158.745,USD,,,,,,,,,
TAMA,Tamadoge,936,1223628.86339361,USD,,,,,,,,,
AGLA,Angola,937,1167895.3800000001,USD,,,,,,,,,
GFT,Gifto,938,1192870.2713921142,USD,,,,,,,,,
VEGA,Vega Protocol,939,1054553.072468,USD,,,,,,,,,
WOZX,Efforce,940,1154690.3552237952,USD,,,,,,,,,
HVH,HAVAH,941,1116313.4991827998,USD,,,,,,,,,
OOKI,Ooki Protocol,942,1098665.3159999999,USD,,,,,,,,,
YOOSHI,YooShi,943,1049580.4063130373,USD,,,,,,,,,
ZKB,ZKBase,944,938610.0160000001,USD,,,,,,,,,
MULTI,Multichain,945,899148.5204866555,USD,145,152695.2306876213,181956.34169029188,USD,1254.871322002013,USD,0,0,USD
SSG,SOMESING,946,767190.3303896,USD,,,,,,,,,
RBLS,Rebel Bots,947,691526.3210665,USD,,,,,,,,,
GRV,Grove Coin,948,668274.2033805001,USD,,,,,,,,,
NVIR,NvirWorld,949,484039.70780858,USD,,,,,,,,,
THN,Throne,950,478358.9815746,USD,,,,,,,,,
HSF,Hillstone Finance,951,453653.395636,USD,,,,,,,,,
WAIT,Hourglass,952,397752.79622814554,USD,,,,,,,,,
DREP,Drep [new],954,289930,USD,,,,,,,,,
VTS,Veritise,955,329271.6145048,USD,,,,,,,,,
PNT,pNetwork,956,279191.41080486716,USD,3,,18.03542457598859,USD,,,,,
PERL,PERL.eco,957,186954.44555548,USD,0,0,,,0,USD,0,0,USD
CVTX,Carrieverse,958,175838.3638008,USD,,,,,,,,,
ORB,OrbCity,959,155623.6773368823,USD,,,,,,,,,
KALM,KALM,960,139330.80000000002,USD,,,,,,,,,
PTS,Petals,961,40952.612499999996,USD,,,,,,,,,
EVA,Evadore,962,26570.644924,USD,,,,,,,,,
FTM,Fantom,,,,478,6447573.375511939,3055505.0226551075,USD,6392.26992187261,USD,4,963405.5935023869,USD
1000SATS,1000SATS,,,,,,,,,,,,
